jobTitle,department,earnings,year,serviceArea,hourlyWage,status
lcc professional stage hand,cultural services,1262.3,2016,community and operation services,NA,part time
aquatics manager,recreation,1254.55,2016,community and operation services,NA,part time
intern,pdt administration,1248,2016,planning development & transportation,NA,part time
swim instructor,recreation,1244.83,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,1233.7,2016,community and operation services,NA,part time
facility attendant,recreation,1232.65,2016,community and operation services,NA,part time
fitness instructor,recreation,1211.2,2016,community and operation services,NA,part time
aqua-fitness instructor,recreation,1204,2016,community and operation services,NA,part time
clerical aide,municipal court,1201.58,2016,judicial services,NA,part time
environmental planner,environmental services,1192.31,2016,sustainability services,NA,part time
skate sharpener,recreation,1187.5,2016,community and operation services,NA,part time
outdoor recreation instructor,recreation,1175,2016,community and operation services,NA,part time
fitness instructor,recreation,1170.8,2016,community and operation services,NA,part time
adult sports field/gym supv,recreation,1168,2016,community and operation services,NA,part time
lifeguard,recreation,1163.18,2016,community and operation services,NA,part time
lifeguard,recreation,1153.71,2016,community and operation services,NA,part time
lifeguard,recreation,1145.09,2016,community and operation services,NA,part time
utility worker/ parks,parks,1144.5,2016,community and operation services,NA,part time
fitness instructor,recreation,1140.54,2016,community and operation services,NA,part time
aqua-fitness instructor,recreation,1137.24,2016,community and operation services,NA,part time
youth instructor,recreation,1131.44,2016,community and operation services,NA,part time
skate instructor/group,recreation,1125,2016,community and operation services,NA,part time
aqua-fitness instructor,recreation,1123.5,2016,community and operation services,NA,part time
swim instructor,recreation,1123.2,2016,community and operation services,NA,part time
equipment operator/ golf,parks,1120,2016,community and operation services,NA,part time
swim instructor,recreation,1114.3,2016,community and operation services,NA,part time
youth sports official,recreation,1110,2016,community and operation services,NA,part time
exhibit worker,cultural services,1108,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,1105,2016,community and operation services,NA,part time
fitness instructor - sr ctr,recreation,1104,2016,community and operation services,NA,part time
swim instructor,recreation,1103.7,2016,community and operation services,NA,part time
lifeguard/water safety instr.,recreation,1103.35,2016,community and operation services,NA,part time
skate instructor/group,recreation,1101.77,2016,community and operation services,NA,part time
utility worker/ parks,parks,1098,2016,community and operation services,NA,part time
fitness instructor,recreation,1096.99,2016,community and operation services,NA,part time
env. education specialist,utilities customer connections,1095,2016,utility services,NA,part time
swim instructor,recreation,1091.7,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,1085.5,2016,community and operation services,NA,part time
lcc technical aide ii,cultural services,1076.8,2016,community and operation services,NA,part time
swim instructor,recreation,1062.9,2016,community and operation services,NA,part time
facility custodian,recreation,1060.92,2016,community and operation services,NA,part time
skate instructor/group,recreation,1054,2016,community and operation services,NA,part time
lcc stage hand,cultural services,1053,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,1047.8,2016,community and operation services,NA,part time
intern,environmental services,1044,2016,sustainability services,NA,part time
equipment operator/ golf,parks,1040,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,1030.9,2016,community and operation services,NA,part time
lifeguard,recreation,1027.5,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,1027,2016,community and operation services,NA,part time
exhibit worker,cultural services,1022.5,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,1014.4,2016,community and operation services,NA,part time
intern,streets,1013.7,2016,planning development & transportation,NA,part time
skate instructor/group,recreation,1010.4,2016,community and operation services,NA,part time
adult sports scorekeeper,recreation,1010,2016,community and operation services,NA,part time
adult sports scorekeeper,recreation,1005.51,2016,community and operation services,NA,part time
line groundworker/hrly-inactve,electric field services,1e3,2016,utility services,NA,part time
lcc professional stage hand,cultural services,994,2016,community and operation services,NA,part time
aqua-fitness instructor,recreation,989.13,2016,community and operation services,NA,part time
youth instructor,recreation,980,2016,community and operation services,NA,part time
lcc technical aide i,cultural services,966,2016,community and operation services,NA,part time
youth sports track&field coach,recreation,960,2016,community and operation services,NA,part time
